"","name","mean_win_rate","mean_fs_win_rate","mean_sec_srv_rate","mean_sec_win_rate","mean_ace_rate","mean_pts_min","mean_bp_faced_rate","mean_bp_att_rate","mean_bp_save_rate","mean_age","mean_df_rate","hand","mean_rank","mean_svpt"
"29","Dominik Koepfer",0,0.631578947368421,0.355932203389831,0.428571428571429,0.0508474576271186,1.42352941176471,0.135593220338983,0.0967741935483871,0.5,25.401779603,0,0,85,59
"30","Dusan Lajovic",0.425531914893617,0.667177914110429,0.314400924179095,0.503384094754653,0.0427440633245383,1.48663316582915,0.0926121372031662,0.0856905158069883,0.601139601139601,28.8980733103128,0.0205804749340369,1,37.468085106383,80.6382978723404
"31","Egor Gerasimov",0.6,0.77257525083612,0.293720576122183,0.598484848484849,0.1415313225058,1.5405872193437,0.0301624129930394,0.0672451193058568,0.461538461538462,26.88678986994,0.0232018561484919,1,98,86.2
"32","Ernests Gulbis",0.277777777777778,0.734274711168164,0.442698472515093,0.459016393442623,0.105831533477322,1.39818548387097,0.0907127429805616,0.0729241877256318,0.579365079365079,30.5664309072944,0.0575953923686105,1,84.2777777777778,77.1666666666667
"33","Evgeny Donskoy",0.4,0.711598746081505,0.407574206352889,0.507042253521127,0.0789473684210526,1.55900621118012,0.0733082706766917,0.0508474576271186,0.666666666666667,28.6806297057,0.0169172932330827,1,96.4,106.4
"34","Fabio Fognini",0.568627450980392,0.690605590062112,0.393584198188301,0.48698224852071,0.0487576183778715,1.46843390303453,0.0949367088607595,0.0936446798266731,0.580246913580247,32.0672115526549,0.0450070323488045,1,12.843137254902,83.6470588235294
"35","Federico Delbonis",0.411764705882353,0.672085201793722,0.382161472799668,0.501367365542388,0.0413051023950017,1.41678796700631,0.0912877473099618,0.089557282865833,0.570342205323194,28.5859805934706,0.0513710517181534,0,75.5882352941177,84.7352941176471
"36","Feliciano Lopez",0.421052631578947,0.766064257028112,0.426129672495359,0.504748982360923,0.139642238892095,1.49333333333333,0.0698211194460473,0.0672800460034503,0.677685950413223,37.7435786591632,0.0490478938257357,0,68.8947368421053,91.2105263157895
"37","Felix Auger Aliassime",0.577777777777778,0.758227292672225,0.352580846374489,0.492344883158743,0.122443181818182,1.38651153618616,0.075,0.0703503275420108,0.628787878787879,18.80873070194,0.0619318181818182,1,32.9555555555556,78.2222222222222
"38","Fernando Verdasco",0.5,0.721266345492085,0.360712410723972,0.494498777506112,0.0893879348304712,1.40316573556797,0.0878467635402906,0.0951111111111111,0.661654135338346,35.5342494603365,0.0427124614707177,0,34,87.3461538461538
"39","Filip Krajinovic",0.611111111111111,0.704272683629381,0.339424408120404,0.513692162417375,0.0709739019732654,1.50467289719626,0.0840229153405474,0.094602789569436,0.602272727272727,27.3710548330806,0.0171865054105665,1,59.8611111111111,87.2777777777778
"40","Frances Tiafoe",0.418604651162791,0.701831210191083,0.345816470370975,0.510097232610322,0.0701480904130943,1.4445690783324,0.0789815536502988,0.0750386797318205,0.572368421052632,21.3452398007116,0.0280592361652377,1,39.4651162790698,89.5116279069767
"41","Gael Monfils",0.672727272727273,0.71506105834464,0.347010336641292,0.505754475703325,0.0813386524822695,1.54207063711911,0.0780141843971631,0.10193401592719,0.633522727272727,32.7769522742909,0.0474290780141844,1,19.4363636363636,82.0363636363636
"42","Gilles Simon",0.519230769230769,0.695769230769231,0.384578541079706,0.502466091245376,0.0504500236854571,1.37639021290118,0.0975840833728091,0.0925467237108759,0.635922330097087,34.3976728268385,0.0336333491236381,1,33.9423076923077,81.1923076923077
"43","Gregoire Barrere",0.5,0.708108108108108,0.338208128078818,0.467391304347826,0.075812274368231,1.66881028938907,0.101083032490975,0.0661157024793388,0.642857142857143,25.5989048597,0.0288808664259928,1,94.5,69.25
"44","Grigor Dimitrov",0.511627906976744,0.747325102880658,0.377478826511029,0.497554157931516,0.0818440818440818,1.4652466367713,0.0766640766640767,0.0864104496357699,0.621621621621622,28.0974165512744,0.0463610463610464,1,40.1162790697674,89.7906976744186
"45","Guido Andreozzi",0.3125,0.660377358490566,0.389110200044246,0.447033898305085,0.0387149917627677,1.34387351778656,0.119439868204283,0.0857632933104631,0.586206896551724,27.5915468857,0.0551894563426689,1,84.25,75.875
"46","Guido Pella",0.590163934426229,0.687955672207641,0.335970123461047,0.52819332566168,0.0580607702728856,1.40943062916157,0.09134894522934,0.0927953890489914,0.639830508474576,29.0119276040393,0.0251596671182504,0,33.7213114754098,84.7049180327869
