"","name","mean_win_rate","mean_fs_win_rate","mean_sec_srv_rate","mean_sec_win_rate","mean_sec_in_rate","mean_ace_rate","mean_pts_min","mean_bp_faced_rate","mean_bp_att_rate","mean_bp_save_rate","mean_age","mean_df_rate","hand","mean_rank","surface"
"24","Diego Schwartzman",0.666666666666667,0.724852071005917,0.357168654795625,0.652439024390244,0.316602316602317,0.0193050193050193,1.55915492957746,0.0598455598455598,0.106960950764007,0.612903225806452,26.8528405202,0.0308880308880309,1,23.5,"Grass"
"25","Dominic Thiem",0,0.75,0.387387387387387,0.55,0.36036036036036,0.135135135135135,1.6510067114094,0.036036036036036,0.0444444444444444,0,25.8234086242,0.027027027027027,1,4,"Grass"
"26","Dusan Lajovic",0,0.632,0.341872646914389,0.571428571428571,0.331578947368421,0.0157894736842105,1.73039215686275,0.105263157894737,0.049079754601227,0.7,28.99247091035,0.0105263157894737,1,34.5,"Grass"
"27","Ernests Gulbis",0,0.757575757575758,0.450146758979185,0.531914893617021,0.388429752066116,0.0909090909090909,1.44642857142857,0.107438016528926,0.0327868852459016,0.653846153846154,30.8081222907,0.0661157024793388,1,90.6666666666667,"Grass"
"28","Fabio Fognini",0.666666666666667,0.689530685920578,0.375367430922986,0.603896103896104,0.34375,0.0491071428571429,1.54833040421793,0.0714285714285714,0.0577367205542725,0.59375,32.1040383299,0.0379464285714286,1,10,"Grass"
"29","Federico Delbonis",0,0.744444444444444,0.434746328437917,0.53125,0.392638036809816,0.0552147239263804,1.55188679245283,0.110429447852761,0.0301204819277108,0.722222222222222,28.72689938395,0.0552147239263804,0,75.5,"Grass"
"30","Feliciano Lopez",0.5,0.823076923076923,0.36498294970162,0.578125,0.31219512195122,0.165853658536585,1.57364341085271,0.0487804878048781,0.0845771144278607,0.6,37.7768651608,0.0536585365853659,0,54,"Grass"
"31","Felix Auger Aliassime",0.727272727272727,0.794258373205742,0.363532857296282,0.656565656565657,0.300911854103343,0.163120567375887,1.44633604737232,0.0658561296859169,0.0682523267838676,0.769230769230769,18.8590629083636,0.0638297872340425,1,21,"Grass"
"32","Fernando Verdasco",0.555555555555556,0.748161764705882,0.406377319161183,0.587662337662338,0.341842397336293,0.124306326304107,1.4505766062603,0.0799112097669256,0.086046511627907,0.694444444444444,35.6078789261778,0.0543840177580466,0,36.3333333333333,"Grass"
"33","Filip Krajinovic",0,0.680555555555556,0.339449541284404,0.529411764705882,0.311926605504587,0.036697247706422,1.65806451612903,0.0642201834862385,0.0675675675675676,0.428571428571429,27.3401779603,0.0275229357798165,1,52,"Grass"
"34","Frances Tiafoe",0.25,0.694444444444444,0.354494676863098,0.548076923076923,0.314199395770393,0.0755287009063444,1.62028301886792,0.0604229607250755,0.0730337078651685,0.35,21.4045174538,0.0332326283987915,1,36,"Grass"
"35","Gael Monfils",0.333333333333333,0.647887323943662,0.331722449668679,0.63855421686747,0.262658227848101,0.0981012658227848,1.63989637305699,0.069620253164557,0.0662460567823344,0.5,32.7784622405,0.0632911392405063,1,16,"Grass"
"36","Gilles Simon",0.666666666666667,0.706303724928367,0.397656194309953,0.552058111380145,0.357266435986159,0.0501730103806228,1.41486068111455,0.0968858131487889,0.095659875996457,0.669642857142857,34.477526808125,0.0389273356401384,1,32.4166666666667,"Grass"
"37","Grigor Dimitrov",0,0.691729323308271,0.31603705311912,0.589285714285714,0.288659793814433,0.0927835051546392,1.6031746031746,0.11340206185567,0.0666666666666667,0.590909090909091,28.1067761807,0.0257731958762887,1,47,"Grass"
"38","Guido Pella",0.571428571428571,0.711221122112211,0.30790037112778,0.536290322580645,0.282782212086659,0.0513112884834664,1.47678571428571,0.0935005701254276,0.0862290862290862,0.719512195121951,29.1143052703429,0.0262257696693273,0,25.7142857142857,"Grass"
"39","Hubert Hurkacz",0.571428571428571,0.746606334841629,0.322447609104535,0.602150537634409,0.284403669724771,0.0932721712538226,1.58421672555948,0.0703363914373089,0.060781476121563,0.739130434782609,22.3682409308714,0.0397553516819572,1,50.4285714285714,"Grass"
"40","Hugo Dellien",0,0.66,0.324324324324324,0.521739130434783,0.310810810810811,0.027027027027027,1.65656565656566,0.0810810810810811,0.0666666666666667,0.333333333333333,26.0396988364,0.0135135135135135,1,83,"Grass"
"41","Ivo Karlovic",0.333333333333333,0.852216748768473,0.347637123837817,0.648936170212766,0.301282051282051,0.25,1.60847880299252,0.0288461538461538,0.018018018018018,0.666666666666667,40.3495322838,0.0480769230769231,1,80.6666666666667,"Grass"
"42","Jan Lennard Struff",0.666666666666667,0.831730769230769,0.434593155979114,0.604095563139932,0.393817204301075,0.17741935483871,1.69817767653759,0.0537634408602151,0.0776439089692102,0.8,29.148680508,0.0470430107526882,1,35.6666666666667,"Grass"
"43","Jaume Munar",0,0.725274725274725,0.345553045908371,0.471910112359551,0.317857142857143,0.0642857142857143,1.51724137931034,0.1,0.0616438356164384,0.571428571428571,22.125941136225,0.0321428571428571,1,85,"Grass"
"44","Jeremy Chardy",0.4,0.741007194244604,0.3356164430158,0.559055118110236,0.300947867298578,0.104265402843602,1.5989010989011,0.0947867298578199,0.0931263858093126,0.7,32.3613963039,0.0402843601895735,1,74.6,"Grass"
"45","Jo-Wilfried Tsonga",0.571428571428571,0.830815709969788,0.363604565488766,0.6,0.349716446124764,0.196597353497164,1.5355587808418,0.0434782608695652,0.0737240075614367,0.608695652173913,34.1765913757429,0.0245746691871456,1,75.4285714285714,"Grass"
"46","Joao Sousa",0.5,0.704918032786885,0.368858259389305,0.594890510948905,0.35538261997406,0.0609597924773022,1.47133138969874,0.0907911802853437,0.072678331090175,0.7,30.2340862423,0.0116731517509728,1,69.375,"Grass"
"47","John Isner",0.833333333333333,0.77803738317757,0.296955779680551,0.630573248407643,0.260797342192691,0.219269102990033,1.53238341968912,0.0481727574750831,0.0464716006884682,0.793103448275862,34.2048825006,0.0282392026578073,1,14,"Grass"
"48","John Millman",0.333333333333333,0.717105263157895,0.392240468911664,0.637837837837838,0.370741482965932,0.0420841683366733,1.61875,0.0761523046092184,0.0763500931098696,0.710526315789474,30.0260095825,0.0200400801603206,1,60.5,"Grass"
"49","Jordan Thompson",0.555555555555556,0.721590909090909,0.331352309119075,0.56078431372549,0.319148936170213,0.0851063829787234,1.44981412639405,0.0663329161451815,0.0867279894875164,0.716981132075472,25.1644992014444,0.0200250312891114,1,54.1111111111111,"Grass"
"50","Juan Ignacio Londero",0.333333333333333,0.715686274509804,0.393145036657889,0.596491228070175,0.343373493975904,0.0632530120481928,1.48917748917749,0.0662650602409639,0.0814606741573034,0.636363636363636,25.8626511522,0.0421686746987952,1,61.3333333333333,"Grass"
"51","Juan Martin del Potro",1,0.772727272727273,0.278688524590164,0.733333333333333,0.245901639344262,0.180327868852459,1.56578947368421,0,0.0517241379310345,NA,30.7296372348,0.0327868852459016,1,12,"Grass"
"52","Karen Khachanov",0.571428571428571,0.750605326876513,0.338392116588377,0.564102564102564,0.310015898251192,0.095389507154213,1.54779411764706,0.0842607313195548,0.0662460567823344,0.69811320754717,23.0855578371286,0.0333863275039746,1,9,"Grass"
"53","Kei Nishikori",0.8,0.70957095709571,0.336983957279752,0.636942675159236,0.332627118644068,0.0317796610169492,1.49775112443778,0.0614406779661017,0.0986717267552182,0.620689655172414,29.5030800821,0.0254237288135593,1,7,"Grass"
"54","Kevin Anderson",0.6,0.853571428571429,0.391891275974228,0.552147239263804,0.357456140350877,0.199561403508772,1.43039772727273,0.0701754385964912,0.0744101633393829,0.75,33.1044490075,0.0285087719298246,1,8,"Grass"
"55","Kyle Edmund",0.5,0.730434782608696,0.302100472594904,0.552447552447552,0.286,0.046,1.4041095890411,0.08,0.0819047619047619,0.625,24.4604152407333,0.024,1,30.5,"Grass"
"56","Laslo Djere",0.25,0.70353982300885,0.415878205158267,0.517241379310345,0.371794871794872,0.0794871794871795,1.502,0.0897435897435897,0.074792243767313,0.542857142857143,24.065023956175,0.0487179487179487,1,31.75,"Grass"
"57","Leonardo Mayer",0.5,0.742424242424242,0.414427860696517,0.657534246575342,0.325892857142857,0.0580357142857143,1.49679487179487,0.0491071428571429,0.0864197530864197,0.545454545454545,32.128678987,0.0848214285714286,1,59,"Grass"
"58","Lloyd Harris",0,0.627118644067797,0.404040404040404,0.486486486486487,0.373737373737374,0.0505050505050505,1.59459459459459,0.121212121212121,0.0128205128205128,0.5,22.3463381246,0.0303030303030303,1,86,"Grass"
"59","Lorenzo Sonego",0.714285714285714,0.777777777777778,0.306920372809179,0.613259668508287,0.296235679214403,0.129296235679214,1.36484983314794,0.0556464811783961,0.0681818181818182,0.735294117647059,24.1177275838143,0.0114566284779051,1,71,"Grass"
"60","Lucas Pouille",0.625,0.75,0.411298385606879,0.621722846441948,0.370319001386963,0.0790568654646325,1.73173652694611,0.0610263522884882,0.0744827586206896,0.681818181818182,25.31861738535,0.0416088765603329,1,27.5,"Grass"
"61","Malek Jaziri",0,0.633333333333333,0.375,0.46875,0.333333333333333,0.0833333333333333,1.66,0.114583333333333,0,0.545454545454545,35.4442162902,0.0416666666666667,1,100,"Grass"
"62","Marcel Granollers",0.75,0.853146853146853,0.311410608469432,0.698412698412698,0.294392523364486,0.0794392523364486,1.52258064516129,0.0420560747663551,0.10077519379845,0.666666666666667,33.2566735113,0.0373831775700935,1,98,"Grass"
"63","Marco Cecchinato",0,0.635658914728682,0.392755691245769,0.552238805970149,0.322115384615385,0.0576923076923077,1.63529411764706,0.0961538461538462,0.0526315789473684,0.45,26.7296372348,0.0576923076923077,1,40.3333333333333,"Grass"
"64","Marin Cilic",0.5,0.801980198019802,0.407072447359006,0.558333333333333,0.347826086956522,0.110144927536232,1.44226579520697,0.0695652173913043,0.100946372239748,0.625,30.73511293635,0.0666666666666667,1,16.5,"Grass"
"65","Marius Copil",0,0.795180722891566,0.346456692913386,0.513513513513513,0.291338582677165,0.149606299212598,1.49425287356322,0.062992125984252,0.0451127819548872,0.5,28.7036276523,0.0551181102362205,1,88,"Grass"
"66","Martin Klizan",0,0.666666666666667,0.376,0.459459459459459,0.296,0.072,1.57553956834532,0.144,0.074468085106383,0.666666666666667,29.9712525667,0.08,0,56,"Grass"
"67","Marton Fucsovics",0.5,0.746438746438746,0.424881226109085,0.595454545454545,0.361247947454844,0.0788177339901478,1.57070707070707,0.0706075533661741,0.094488188976378,0.534883720930233,27.3570613734833,0.0623973727422003,1,51.5,"Grass"
"68","Matteo Berrettini",0.857142857142857,0.83695652173913,0.365812778871715,0.61671469740634,0.339198435972629,0.143695014662757,1.53352353780314,0.0469208211143695,0.0763087843833185,0.729166666666667,23.1553730322071,0.0312805474095797,1,26.5,"Grass"
"69","Matthew Ebden",0,0.719298245614035,0.350068986831794,0.43298969072165,0.275568181818182,0.0965909090909091,1.66666666666667,0.142045454545455,0.0545977011494253,0.62,31.56605065025,0.0767045454545455,1,83,"Grass"
"70","Mikhail Kukushkin",0.5,0.689895470383275,0.312214371465253,0.529166666666667,0.291616038882138,0.0388821385176185,1.55229716520039,0.0874848116646416,0.073202614379085,0.722222222222222,31.4911019849625,0.0109356014580802,1,52.5,"Grass"
"71","Milos Raonic",0.8,0.85480943738657,0.38168223526496,0.704081632653061,0.328859060402685,0.247203579418345,1.52120717781403,0.0391498881431767,0.0679711637487127,0.771428571428571,28.48049281315,0.0548098434004474,1,17.6,"Grass"
"72","Miomir Kecmanovic",0.666666666666667,0.769736842105263,0.368201590655224,0.623430962343096,0.331024930747922,0.0664819944598338,1.50949367088608,0.0650969529085873,0.0691114245416079,0.723404255319149,19.8053083885,0.0373961218836565,1,80.5555555555556,"Grass"
"73","Nick Kyrgios",0.4,0.75,0.350863010014844,0.6,0.298804780876494,0.167330677290837,1.50750750750751,0.047808764940239,0.0338645418326693,0.5,24.15112936344,0.0398406374501992,1,40,"Grass"
"74","Nicolas Jarry",0.5,0.740072202166065,0.417359188345711,0.576923076923077,0.384778012684989,0.173361522198731,1.55067567567568,0.080338266384778,0.0359550561797753,0.657894736842105,23.68560346795,0.0295983086680761,1,57.1666666666667,"Grass"
"75","Nikoloz Basilashvili",0.25,0.66023166023166,0.423204433619961,0.625806451612903,0.353075170842825,0.0318906605922551,1.56887298747764,0.107061503416856,0.0753424657534247,0.617021276595745,27.327173169025,0.0569476082004556,1,16.5,"Grass"
"76","Novak Djokovic",1,0.780040733197556,0.351423929646031,0.590163934426229,0.319371727748691,0.0772251308900524,1.42923219241443,0.0484293193717278,0.101152368758003,0.648648648648649,32.1095140315,0.0379581151832461,1,1,"Grass"
"77","Pablo Andujar",0,0.615384615384615,0.293478260869565,0.458333333333333,0.260869565217391,0.0217391304347826,1.52991452991453,0.108695652173913,0.0344827586206897,0.6,33.4346338125,0.0326086956521739,1,78,"Grass"
"78","Pablo Carreno Busta",0.5,0.748898678414097,0.319890304363102,0.53921568627451,0.301775147928994,0.0798816568047337,1.64988009592326,0.103550295857988,0.0628571428571429,0.771428571428571,27.955509924675,0.0266272189349112,1,56.75,"Grass"
"79","Pablo Cuevas",0.333333333333333,0.728155339805825,0.41702909663436,0.594202898550725,0.383333333333333,0.075,1.59490740740741,0.075,0.0638297872340425,0.592592592592593,33.4884782113,0.0444444444444444,1,44.6666666666667,"Grass"
"80","Philipp Kohlschreiber",0,0.710144927536232,0.417220748600059,0.5,0.393305439330544,0.0836820083682008,1.49837133550489,0.125523012552301,0.0542986425339367,0.6,35.6751083732667,0.0292887029288703,1,52.6666666666667,"Grass"
"81","Pierre Hugues Herbert",0.5,0.720403022670025,0.374230086177459,0.567307692307692,0.326018808777429,0.109717868338558,1.51990349819059,0.0783699059561129,0.0739549839228296,0.54,28.253935660475,0.0517241379310345,1,41.75,"Grass"
"82","Prajnesh Gunneswaran",0.25,0.693181818181818,0.390749231535384,0.545454545454545,0.34375,0.0763888888888889,1.56980056980057,0.0694444444444444,0.0304182509505703,0.45,29.631759069125,0.0451388888888889,0,92.5,"Grass"
"83","Radu Albot",0.25,0.665178571428571,0.319649611507574,0.5625,0.290030211480363,0.054380664652568,1.52764976958525,0.0694864048338369,0.108433734939759,0.434782608695652,29.610540725525,0.0332326283987915,1,40.75,"Grass"
"84","Rafael Nadal",0.833333333333333,0.808383233532934,0.382739538130867,0.651041666666667,0.355555555555556,0.105555555555556,1.33857315598549,0.0444444444444444,0.111111111111111,0.75,33.0759753593,0.0259259259259259,0,2,"Grass"
"85","Reilly Opelka",0.5,0.702205882352941,0.345319051757203,0.609756097560976,0.302211302211302,0.147420147420147,1.60662525879917,0.0761670761670762,0.0813008130081301,0.67741935483871,21.8350444901,0.0294840294840295,1,62.5,"Grass"
"86","Ricardas Berankis",0.5,0.72972972972973,0.446987951807229,0.6625,0.404040404040404,0.0202020202020202,1.5982905982906,0.0606060606060606,0.0511363636363636,0.666666666666667,29.0266940452,0.0353535353535354,1,77,"Grass"
"87","Richard Gasquet",0.571428571428571,0.731391585760518,0.383039868681213,0.568965517241379,0.350806451612903,0.092741935483871,1.55341246290801,0.0745967741935484,0.0961887477313975,0.621621621621622,32.9911019849286,0.0262096774193548,1,46.1428571428571,"Grass"
"88","Roberto Bautista Agut",0.75,0.751648351648352,0.330311640937611,0.62200956937799,0.30962962962963,0.0444444444444444,1.52206673842842,0.0592592592592593,0.0960757780784844,0.7,31.197125256675,0.0162962962962963,1,21.25,"Grass"
"89","Roberto Carballes Baena",0.25,0.704081632653061,0.430322296238245,0.507462686567164,0.396449704142012,0.0532544378698225,1.5480093676815,0.112426035502959,0.0495356037151703,0.684210526315789,26.2532511978,0.0236686390532544,1,72.5,"Grass"
"90","Robin Haase",0.4,0.714801444043321,0.409927633142316,0.568047337278107,0.367391304347826,0.0891304347826087,1.54067796610169,0.0891304347826087,0.0846325167037862,0.682926829268293,32.2047912389,0.0304347826086957,1,70.4,"Grass"
"91","Roger Federer",0.916666666666667,0.802538787023977,0.348794374659251,0.661111111111111,0.329972502291476,0.104491292392301,1.5224570673712,0.0421631530705774,0.0790774299835255,0.760869565217391,37.87862194845,0.0201649862511457,1,3,"Grass"
"92","Sam Querrey",0.8,0.838768115942029,0.35455766641409,0.57243816254417,0.327167630057803,0.223121387283237,1.66666666666667,0.0473988439306358,0.0755555555555556,0.731707317073171,31.72210814515,0.0346820809248555,1,72,"Grass"
"93","Stan Wawrinka",0.5,0.827272727272727,0.401170147725017,0.704545454545455,0.362637362637363,0.134615384615385,1.58298755186722,0.0521978021978022,0.075187969924812,0.736842105263158,34.2395619439,0.032967032967033,1,19,"Grass"
"94","Stefanos Tsitsipas",0.4,0.754098360655738,0.367729874158789,0.569620253164557,0.325773195876289,0.0680412371134021,1.50453172205438,0.0680412371134021,0.0880626223091976,0.575757575757576,20.8498288843,0.045360824742268,1,6,"Grass"
"95","Steve Johnson",0.444444444444444,0.744597249508841,0.365828369178095,0.535714285714286,0.343558282208589,0.0687116564417178,1.57055837563452,0.0650306748466258,0.0560109289617486,0.622641509433962,29.5018632595889,0.0319018404907975,1,72.1111111111111,"Grass"
"96","Taylor Fritz",0.7,0.787685774946921,0.415685285609787,0.602693602693603,0.369402985074627,0.138059701492537,1.68797399783315,0.0646766169154229,0.0596816976127321,0.730769230769231,21.64791238875,0.0447761194029851,1,39.6,"Grass"
"97","Tennys Sandgren",0.625,0.736514522821577,0.406253003981797,0.546075085324232,0.364427860696517,0.0995024875621891,1.52828379674017,0.0733830845771144,0.0835443037974684,0.559322033898305,27.9544832306875,0.0360696517412935,1,85.5,"Grass"
"98","Thomas Fabbiano",0.666666666666667,0.75531914893617,0.32734649122807,0.630252100840336,0.288834951456311,0.029126213592233,1.56899810964083,0.0509708737864078,0.0717703349282297,0.714285714285714,30.0971937029,0.0266990291262136,1,89,"Grass"
"99","Ugo Humbert",0.555555555555556,0.767151767151767,0.393228154267959,0.572992700729927,0.344654088050314,0.0943396226415094,1.45698427382054,0.0691823899371069,0.0769230769230769,0.672727272727273,21.0151342307333,0.050314465408805,0,59.3333333333333,"Grass"
"100","Yoshihito Nishioka",0,0.64,0.358974358974359,0.592592592592593,0.346153846153846,0.0256410256410256,1.39830508474576,0.0897435897435897,0.0977011494252874,0.5,23.7590691307,0.0128205128205128,0,68,"Grass"
